t,sigma_US,sigma_EU,sigma_CN,sigma_RoW,success_rate,mean_W,mean_coord_time,fm_US,fm_EU,fm_CN,fm_RoW
1,0.11311195754133993,0.35673211884764877,0.10812638212218552,0.001851788539369277,0.818,0.8492708991060378,3.937245313773431,0.10466666666666667,0.35333333333333333,0.102,0.0026666666666666666
2,0.12447550889899264,0.34875608074195674,0.11713793418430433,0.0027168118817034854,0.818,0.8492708991060378,3.937245313773431,0.10466666666666667,0.35333333333333333,0.102,0.0026666666666666666
3,0.14118348594407068,0.380330302860696,0.1305798239322386,0.007073383959369213,0.818,0.8492708991060378,3.937245313773431,0.10466666666666667,0.35333333333333333,0.102,0.0026666666666666666
4,0.11233349516011629,0.027217490619841196,0.00030972747151252096,9.12484205249019e-05,0.818,0.8492708991060378,3.937245313773431,0.10466666666666667,0.35333333333333333,0.102,0.0026666666666666666
5,0.03762175386494417,0.009087306544990311,5.515581440915687e-06,2.2182205132952532e-06,0.818,0.8492708991060378,3.937245313773431,0.10466666666666667,0.35333333333333333,0.102,0.0026666666666666666
6,0.003689150935289237,0.006310066472538063,2.351830959071704e-06,7.896770462893533e-07,0.818,0.8492708991060378,3.937245313773431,0.10466666666666667,0.35333333333333333,0.102,0.0026666666666666666
7,0.003629746757830758,0.006219728665104429,2.1877424972998032e-06,7.457912916437443e-07,0.818,0.8492708991060378,3.937245313773431,0.10466666666666667,0.35333333333333333,0.102,0.0026666666666666666
8,0.0036283372222835454,0.006233174914940313,2.1359933341999456e-06,7.425109692704844e-07,0.818,0.8492708991060378,3.937245313773431,0.10466666666666667,0.35333333333333333,0.102,0.0026666666666666666
9,0.0036310326477761654,0.00625636555615811,2.110217684179696e-06,7.40852091514061e-07,0.818,0.8492708991060378,3.937245313773431,0.10466666666666667,0.35333333333333333,0.102,0.0026666666666666666
10,0.0036356142740377045,0.0062857323845741195,2.0920486919067913e-06,7.39365007116488e-07,0.818,0.8492708991060378,3.937245313773431,0.10466666666666667,0.35333333333333333,0.102,0.0026666666666666666
