counterfactual,lam_US,lam_CN,fm_CN,fm_US,success_rate
CF1: Baseline,1.7650766863709861,1.9127290794612208,0.055,0.125,0.635
CF1: Baseline,1.7797898992301295,2.9304659303405325,0.015,0.165,0.66
CF1: Baseline,2.0372578549228093,1.92070874473644,0.1,0.125,0.66
CF1: Baseline,1.21696680717283,1.8862786331222416,0.08,0.205,0.73
CF1: Baseline,1.668808813877256,2.0251450200485928,0.06,0.15,0.75
CF1: Baseline,2.826106244199165,1.1147134591010828,0.195,0.06,0.735
CF1: Baseline,1.2735958466088124,1.4776991275972429,0.09,0.155,0.795
CF1: Baseline,1.1756793309982747,1.3750373735715347,0.055,0.19,0.74
CF1: Baseline,2.8405742277242143,1.4447105395918354,0.17,0.075,0.67
CF1: Baseline,2.4366230219997753,0.6014181009741353,0.225,0.07,0.765
CF1: Baseline,1.2466389897114016,2.256477866644955,0.04,0.185,0.75
CF1: Baseline,1.6306315521305565,2.7246447262563,0.015,0.21,0.665
CF1: Baseline,1.587750078915154,2.0588994890550962,0.04,0.16,0.685
CF1: Baseline,1.9634492887597603,1.997829360647149,0.08,0.155,0.72
CF1: Baseline,2.1392141378570995,1.7782049535121698,0.105,0.135,0.635
CF1: Baseline,0.9841993841747122,0.6724184555278452,0.14,0.195,0.85
CF1: Baseline,1.130114229878889,0.7379820934021976,0.115,0.19,0.77
CF1: Baseline,0.7828234165404218,1.2014645823992876,0.09,0.245,0.8
CF1: Baseline,1.9812908802199922,1.358056317335108,0.1,0.135,0.735
CF1: Baseline,2.4446230800044604,2.9134636562463347,0.03,0.15,0.695
CF1: Baseline,1.3296000280932079,1.0907103273552092,0.11,0.215,0.725
CF1: Baseline,2.2195782663131522,1.9316645633120282,0.065,0.14,0.675
CF1: Baseline,2.4238928899556047,2.042289346282685,0.13,0.095,0.705
CF1: Baseline,1.1987961943435492,2.7777657926164316,0.03,0.155,0.72
CF1: Baseline,1.932341152980455,2.2957763148453068,0.05,0.17,0.675
CF1: Baseline,2.1809367061562046,2.4244853694948127,0.06,0.11,0.705
