test,t,G,n_active,max_deviation,unique,spectral_radius,stable
multistart,10,"(0, 0, 0, 0)",4,0.0,True,,
multistart,10,"(0, 0, 0, 1)",3,0.0,True,,
multistart,10,"(0, 0, 1, 0)",3,0.0,True,,
multistart,10,"(0, 0, 1, 1)",2,0.0,True,,
multistart,10,"(0, 1, 0, 0)",3,0.0,True,,
multistart,10,"(0, 1, 0, 1)",2,0.0,True,,
multistart,10,"(0, 1, 1, 0)",2,0.0,True,,
multistart,10,"(0, 1, 1, 1)",1,0.0,True,,
multistart,10,"(1, 0, 0, 0)",3,0.0,True,,
multistart,10,"(1, 0, 0, 1)",2,0.0,True,,
multistart,10,"(1, 0, 1, 0)",2,0.0,True,,
multistart,10,"(1, 0, 1, 1)",1,0.0,True,,
multistart,10,"(1, 1, 0, 0)",2,0.0,True,,
multistart,10,"(1, 1, 0, 1)",1,0.0,True,,
multistart,10,"(1, 1, 1, 0)",1,0.0,True,,
multistart,9,"(0, 0, 0, 0)",4,1.7e-11,True,,
multistart,9,"(0, 0, 0, 1)",3,1e-10,True,,
multistart,9,"(0, 0, 1, 0)",3,9.26e-10,True,,
multistart,9,"(0, 0, 1, 1)",2,7.3e-10,True,,
multistart,9,"(0, 1, 0, 0)",3,4.15e-10,True,,
multistart,9,"(0, 1, 0, 1)",2,2.49e-10,True,,
multistart,9,"(0, 1, 1, 0)",2,1.43e-10,True,,
multistart,9,"(0, 1, 1, 1)",1,0.0,True,,
multistart,9,"(1, 0, 0, 0)",3,4.47e-10,True,,
multistart,9,"(1, 0, 0, 1)",2,5.53e-10,True,,
multistart,9,"(1, 0, 1, 0)",2,9e-12,True,,
multistart,9,"(1, 0, 1, 1)",1,0.0,True,,
multistart,9,"(1, 1, 0, 0)",2,1e-11,True,,
multistart,9,"(1, 1, 0, 1)",1,0.0,True,,
multistart,9,"(1, 1, 1, 0)",1,0.0,True,,
multistart,8,"(0, 0, 0, 0)",4,5.6e-11,True,,
multistart,8,"(0, 0, 0, 1)",3,3.3e-10,True,,
multistart,8,"(0, 0, 1, 0)",3,1.493e-09,True,,
multistart,8,"(0, 0, 1, 1)",2,8.92e-10,True,,
multistart,8,"(0, 1, 0, 0)",3,1.67e-10,True,,
multistart,8,"(0, 1, 0, 1)",2,6.45e-10,True,,
multistart,8,"(0, 1, 1, 0)",2,3.3e-11,True,,
multistart,8,"(0, 1, 1, 1)",1,0.0,True,,
multistart,8,"(1, 0, 0, 0)",3,8.34e-10,True,,
