parameter,outcome,rho,pvalue
delta_US,success_rate,0.3384,0.0
delta_EU,success_rate,0.0058,0.8544
delta_CN,success_rate,0.1805,0.0
delta_RoW,success_rate,0.1255,0.0001
cost_US,success_rate,-0.3039,0.0
cost_EU,success_rate,-0.0844,0.0075
cost_CN,success_rate,-0.296,0.0
cost_RoW,success_rate,-0.1764,0.0
pressure_US,success_rate,0.0516,0.103
pressure_EU,success_rate,0.0554,0.0798
pressure_CN,success_rate,-0.0086,0.7855
pressure_RoW,success_rate,0.0394,0.213
lam_US,success_rate,0.157,0.0
lam_EU,success_rate,0.0773,0.0145
lam_CN,success_rate,0.0695,0.0281
lam_RoW,success_rate,-0.0369,0.2432
theta,success_rate,-0.4416,0.0
gamma,success_rate,0.0891,0.0048
eta,success_rate,0.1776,0.0
kappa,success_rate,0.2735,0.0
delta_US,mean_W,0.2606,0.0
delta_EU,mean_W,0.0548,0.0835
delta_CN,mean_W,0.1045,0.0009
delta_RoW,mean_W,0.1817,0.0
cost_US,mean_W,-0.2596,0.0
cost_EU,mean_W,-0.0559,0.0773
cost_CN,mean_W,-0.2559,0.0
cost_RoW,mean_W,-0.3678,0.0
pressure_US,mean_W,0.0677,0.0324
pressure_EU,mean_W,0.0093,0.7679
pressure_CN,mean_W,-0.0488,0.1228
pressure_RoW,mean_W,0.0954,0.0025
lam_US,mean_W,0.0462,0.1439
lam_EU,mean_W,0.0061,0.8467
lam_CN,mean_W,0.0083,0.7938
lam_RoW,mean_W,-0.1562,0.0
theta,mean_W,0.1001,0.0015
gamma,mean_W,0.1492,0.0
eta,mean_W,0.1108,0.0004
kappa,mean_W,0.2572,0.0
delta_US,mean_coord_time,-0.3308,0.0
delta_EU,mean_coord_time,-0.0433,0.1786
delta_CN,mean_coord_time,-0.2359,0.0
delta_RoW,mean_coord_time,-0.1132,0.0004
cost_US,mean_coord_time,0.2615,0.0
cost_EU,mean_coord_time,0.0749,0.0198
cost_CN,mean_coord_time,0.1965,0.0
cost_RoW,mean_coord_time,0.1286,0.0001
pressure_US,mean_coord_time,-0.0558,0.083
pressure_EU,mean_coord_time,-0.0884,0.006
pressure_CN,mean_coord_time,0.0216,0.5019
pressure_RoW,mean_coord_time,-0.0622,0.0533
lam_US,mean_coord_time,-0.2165,0.0
