parameter,outcome,rho,pvalue
delta_US,success_rate,0.158,0.0
delta_EU,success_rate,0.0313,0.3231
delta_CN,success_rate,0.1692,0.0
delta_RoW,success_rate,0.1396,0.0
cost_US,success_rate,-0.152,0.0
cost_EU,success_rate,-0.0804,0.011
cost_CN,success_rate,-0.1674,0.0
cost_RoW,success_rate,-0.1533,0.0
pressure_US,success_rate,0.0646,0.0411
pressure_EU,success_rate,-0.0284,0.3705
pressure_CN,success_rate,0.0784,0.0131
pressure_RoW,success_rate,0.1723,0.0
lam_US,success_rate,0.156,0.0
lam_EU,success_rate,0.0315,0.3201
lam_CN,success_rate,0.0844,0.0076
lam_RoW,success_rate,0.0678,0.0321
theta,success_rate,-0.1983,0.0
gamma,success_rate,0.0734,0.0203
eta,success_rate,0.1809,0.0
kappa,success_rate,0.1816,0.0
delta_US,mean_W,0.0833,0.0084
delta_EU,mean_W,0.0284,0.3705
delta_CN,mean_W,0.0972,0.0021
delta_RoW,mean_W,0.247,0.0
cost_US,mean_W,-0.1113,0.0004
cost_EU,mean_W,-0.0911,0.0039
cost_CN,mean_W,-0.126,0.0001
cost_RoW,mean_W,-0.4085,0.0
pressure_US,mean_W,0.1032,0.0011
pressure_EU,mean_W,-0.049,0.1219
pressure_CN,mean_W,0.0262,0.4078
pressure_RoW,mean_W,0.3899,0.0
lam_US,mean_W,0.0935,0.0031
lam_EU,mean_W,0.0102,0.747
lam_CN,mean_W,0.0515,0.1033
lam_RoW,mean_W,-0.0305,0.3353
theta,mean_W,0.3575,0.0
gamma,mean_W,0.1101,0.0005
eta,mean_W,0.0589,0.0628
kappa,mean_W,0.131,0.0
delta_US,mean_coord_time,-0.2326,0.0
delta_EU,mean_coord_time,-0.0456,0.1542
delta_CN,mean_coord_time,-0.3042,0.0
delta_RoW,mean_coord_time,-0.1073,0.0008
cost_US,mean_coord_time,0.1975,0.0
cost_EU,mean_coord_time,0.0181,0.5717
cost_CN,mean_coord_time,0.3172,0.0
cost_RoW,mean_coord_time,0.118,0.0002
pressure_US,mean_coord_time,-0.022,0.4908
pressure_EU,mean_coord_time,-0.0237,0.4594
