parameter,outcome,rho,pvalue
delta_US,success_rate,0.1882,0.0076
delta_EU,success_rate,0.0825,0.2455
delta_CN,success_rate,0.174,0.0137
delta_RoW,success_rate,0.1354,0.0559
cost_US,success_rate,-0.2344,0.0008
cost_EU,success_rate,-0.1068,0.1324
cost_CN,success_rate,-0.1498,0.0343
cost_RoW,success_rate,-0.1942,0.0059
pressure_US,success_rate,-0.0295,0.6782
pressure_EU,success_rate,0.0573,0.4205
pressure_CN,success_rate,0.0046,0.9487
pressure_RoW,success_rate,0.0476,0.503
lam_US,success_rate,0.1377,0.0519
lam_EU,success_rate,0.0741,0.2972
lam_CN,success_rate,0.022,0.7569
lam_RoW,success_rate,0.1008,0.1556
theta,success_rate,-0.3642,0.0
gamma,success_rate,0.0748,0.2926
eta,success_rate,0.2669,0.0001
kappa,success_rate,0.174,0.0137
delta_US,mean_W,0.1934,0.0061
delta_EU,mean_W,0.1218,0.0857
delta_CN,mean_W,0.0705,0.3211
delta_RoW,mean_W,0.1334,0.0598
cost_US,mean_W,-0.1163,0.1009
cost_EU,mean_W,-0.074,0.2974
cost_CN,mean_W,-0.1758,0.0128
cost_RoW,mean_W,-0.3307,0.0
pressure_US,mean_W,-0.0259,0.7158
pressure_EU,mean_W,0.0542,0.4463
pressure_CN,mean_W,0.0324,0.6488
pressure_RoW,mean_W,0.073,0.304
lam_US,mean_W,0.1366,0.0537
lam_EU,mean_W,0.0272,0.7023
lam_CN,mean_W,-0.0286,0.6873
lam_RoW,mean_W,0.0578,0.4159
theta,mean_W,0.1451,0.0404
gamma,mean_W,0.1623,0.0216
eta,mean_W,0.2429,0.0005
kappa,mean_W,0.2024,0.004
delta_US,mean_coord_time,-0.3151,0.0
delta_EU,mean_coord_time,-0.1488,0.0536
delta_CN,mean_coord_time,-0.328,0.0
delta_RoW,mean_coord_time,-0.0965,0.2121
cost_US,mean_coord_time,0.3033,0.0001
cost_EU,mean_coord_time,0.0323,0.6767
cost_CN,mean_coord_time,0.1199,0.1205
cost_RoW,mean_coord_time,0.0381,0.6224
pressure_US,mean_coord_time,0.0752,0.3314
pressure_EU,mean_coord_time,-0.0548,0.4791
pressure_CN,mean_coord_time,-0.0088,0.9095
pressure_RoW,mean_coord_time,-0.1004,0.194
lam_US,mean_coord_time,-0.1959,0.0107
lam_EU,mean_coord_time,-0.1664,0.0306
lam_CN,mean_coord_time,-0.1313,0.0889
lam_RoW,mean_coord_time,-0.0911,0.2388
theta,mean_coord_time,0.4173,0.0
gamma,mean_coord_time,0.0834,0.2812
eta,mean_coord_time,-0.1251,0.105
kappa,mean_coord_time,0.0601,0.4375
delta_US,fm_US,0.4274,0.0
delta_EU,fm_US,0.0364,0.6088
delta_CN,fm_US,0.1267,0.0737
delta_RoW,fm_US,0.0403,0.5709
cost_US,fm_US,-0.4968,0.0
cost_EU,fm_US,0.034,0.6325
cost_CN,fm_US,-0.086,0.226
cost_RoW,fm_US,0.0394,0.5799
pressure_US,fm_US,-0.0248,0.7275
pressure_EU,fm_US,0.0363,0.6095
pressure_CN,fm_US,0.0192,0.7876
pressure_RoW,fm_US,0.0255,0.7195
lam_US,fm_US,-0.0706,0.3205
lam_EU,fm_US,-0.0008,0.9908
lam_CN,fm_US,0.0443,0.533
lam_RoW,fm_US,-0.0036,0.9597
theta,fm_US,-0.3349,0.0
gamma,fm_US,-0.03,0.6729
eta,fm_US,0.0649,0.3611
kappa,fm_US,-0.0076,0.9151
delta_US,fm_EU,0.0354,0.6184
delta_EU,fm_EU,0.294,0.0
delta_CN,fm_EU,0.0737,0.2998
delta_RoW,fm_EU,0.0672,0.3447
cost_US,fm_EU,0.0138,0.8461
cost_EU,fm_EU,-0.3989,0.0
cost_CN,fm_EU,0.0045,0.9496
cost_RoW,fm_EU,-0.1378,0.0517
pressure_US,fm_EU,0.0713,0.3155
pressure_EU,fm_EU,0.0503,0.4792
pressure_CN,fm_EU,-0.0755,0.2879
pressure_RoW,fm_EU,0.0869,0.2213
lam_US,fm_EU,-0.0833,0.2406
lam_EU,fm_EU,-0.2278,0.0012
lam_CN,fm_EU,-0.0623,0.3804
lam_RoW,fm_EU,0.0078,0.9127
theta,fm_EU,-0.2229,0.0015
gamma,fm_EU,0.0562,0.4289
eta,fm_EU,0.0097,0.892
kappa,fm_EU,0.0804,0.2576
delta_US,fm_CN,0.0991,0.1625
delta_EU,fm_CN,0.0017,0.9805
delta_CN,fm_CN,0.484,0.0
delta_RoW,fm_CN,0.091,0.2
cost_US,fm_CN,-0.0392,0.5815
cost_EU,fm_CN,0.0387,0.5861
cost_CN,fm_CN,-0.3666,0.0
cost_RoW,fm_CN,-0.1461,0.0389
pressure_US,fm_CN,0.0484,0.4958
pressure_EU,fm_CN,0.0186,0.7939
pressure_CN,fm_CN,-0.1461,0.0389
pressure_RoW,fm_CN,0.0677,0.3407
lam_US,fm_CN,-0.0315,0.6574
lam_EU,fm_CN,0.0032,0.9647
lam_CN,fm_CN,-0.2469,0.0004
lam_RoW,fm_CN,-0.0342,0.6304
theta,fm_CN,-0.3516,0.0
gamma,fm_CN,0.0392,0.5811
eta,fm_CN,0.0436,0.5395
kappa,fm_CN,0.087,0.2208
delta_US,fm_RoW,0.13,0.0665
delta_EU,fm_RoW,0.0351,0.6213
delta_CN,fm_RoW,0.0714,0.315
delta_RoW,fm_RoW,0.3466,0.0
cost_US,fm_RoW,0.0872,0.2196
cost_EU,fm_RoW,-0.0707,0.3195
cost_CN,fm_RoW,-0.0705,0.3213
cost_RoW,fm_RoW,-0.3808,0.0
pressure_US,fm_RoW,0.0263,0.7114
pressure_EU,fm_RoW,0.0608,0.3925
pressure_CN,fm_RoW,0.0195,0.7842
pressure_RoW,fm_RoW,0.192,0.0065
lam_US,fm_RoW,-0.0053,0.9408
lam_EU,fm_RoW,0.0153,0.8302
lam_CN,fm_RoW,-0.0399,0.5747
lam_RoW,fm_RoW,-0.3834,0.0
theta,fm_RoW,-0.0037,0.9582
gamma,fm_RoW,-0.0168,0.8133
eta,fm_RoW,-0.0056,0.9369
kappa,fm_RoW,0.002,0.9779
