parameter,outcome,rho,pvalue
delta_US,success_rate,0.2174,0.0
delta_EU,success_rate,0.0289,0.3618
delta_CN,success_rate,0.1452,0.0
delta_RoW,success_rate,0.1402,0.0
cost_US,success_rate,-0.2135,0.0
cost_EU,success_rate,-0.0718,0.0231
cost_CN,success_rate,-0.1975,0.0
cost_RoW,success_rate,-0.1733,0.0
pressure_US,success_rate,0.2263,0.0
pressure_EU,success_rate,0.0575,0.069
pressure_CN,success_rate,-0.0463,0.1433
pressure_RoW,success_rate,0.1095,0.0005
lam_US,success_rate,0.2298,0.0
lam_EU,success_rate,0.0683,0.0307
lam_CN,success_rate,0.0976,0.002
lam_RoW,success_rate,0.0171,0.5898
theta,success_rate,-0.2892,0.0
gamma,success_rate,0.0389,0.2196
eta,success_rate,0.095,0.0026
kappa,success_rate,0.1817,0.0
delta_US,mean_W,0.1332,0.0
delta_EU,mean_W,0.051,0.1071
delta_CN,mean_W,0.0426,0.1783
delta_RoW,mean_W,0.1406,0.0
cost_US,mean_W,-0.2175,0.0
cost_EU,mean_W,-0.0473,0.1346
cost_CN,mean_W,-0.1472,0.0
cost_RoW,mean_W,-0.2151,0.0
pressure_US,mean_W,0.3078,0.0
pressure_EU,mean_W,0.0475,0.1336
pressure_CN,mean_W,-0.0475,0.1334
pressure_RoW,mean_W,0.2119,0.0
lam_US,mean_W,0.163,0.0
lam_EU,mean_W,0.0647,0.0407
lam_CN,mean_W,0.0862,0.0064
lam_RoW,mean_W,0.0618,0.0506
theta,mean_W,0.2643,0.0
gamma,mean_W,0.089,0.0048
eta,mean_W,0.0126,0.69
kappa,mean_W,0.1691,0.0
delta_US,mean_coord_time,-0.2718,0.0
delta_EU,mean_coord_time,0.0008,0.9792
delta_CN,mean_coord_time,-0.2672,0.0
delta_RoW,mean_coord_time,-0.1675,0.0
cost_US,mean_coord_time,0.2054,0.0
cost_EU,mean_coord_time,0.0607,0.0561
cost_CN,mean_coord_time,0.2356,0.0
cost_RoW,mean_coord_time,0.189,0.0
pressure_US,mean_coord_time,-0.1317,0.0
pressure_EU,mean_coord_time,-0.0801,0.0117
pressure_CN,mean_coord_time,0.0152,0.6329
pressure_RoW,mean_coord_time,-0.0946,0.0029
lam_US,mean_coord_time,-0.2168,0.0
lam_EU,mean_coord_time,-0.1031,0.0012
lam_CN,mean_coord_time,-0.1729,0.0
lam_RoW,mean_coord_time,-0.0731,0.0214
theta,mean_coord_time,0.5289,0.0
gamma,mean_coord_time,0.0315,0.3221
eta,mean_coord_time,-0.145,0.0
kappa,mean_coord_time,-0.1628,0.0
delta_US,fm_US,0.4232,0.0
delta_EU,fm_US,-0.0071,0.8231
delta_CN,fm_US,-0.0063,0.8427
delta_RoW,fm_US,-0.0357,0.2599
cost_US,fm_US,-0.6452,0.0
cost_EU,fm_US,0.0138,0.6635
cost_CN,fm_US,0.0414,0.1908
cost_RoW,fm_US,0.0819,0.0095
pressure_US,fm_US,0.1016,0.0013
pressure_EU,fm_US,-0.0522,0.0992
pressure_CN,fm_US,-0.0421,0.184
pressure_RoW,fm_US,0.0127,0.6892
lam_US,fm_US,-0.2921,0.0
lam_EU,fm_US,-0.0307,0.3315
lam_CN,fm_US,0.0533,0.0921
lam_RoW,fm_US,-0.0188,0.5533
theta,fm_US,-0.0997,0.0016
gamma,fm_US,-0.0838,0.008
eta,fm_US,-0.0017,0.9575
kappa,fm_US,0.0315,0.3194
delta_US,fm_EU,-0.0269,0.3949
delta_EU,fm_EU,0.3028,0.0
delta_CN,fm_EU,0.0097,0.76
delta_RoW,fm_EU,0.0086,0.786
cost_US,fm_EU,0.0644,0.0417
cost_EU,fm_EU,-0.6402,0.0
cost_CN,fm_EU,0.0439,0.1651
cost_RoW,fm_EU,0.0367,0.2467
pressure_US,fm_EU,0.0325,0.3052
pressure_EU,fm_EU,0.0851,0.0071
pressure_CN,fm_EU,0.0076,0.8113
pressure_RoW,fm_EU,0.0789,0.0125
lam_US,fm_EU,0.0256,0.4186
lam_EU,fm_EU,-0.2308,0.0
lam_CN,fm_EU,0.1013,0.0013
lam_RoW,fm_EU,0.0062,0.8443
theta,fm_EU,-0.0619,0.0502
gamma,fm_EU,-0.0734,0.0203
eta,fm_EU,-0.0015,0.9612
kappa,fm_EU,0.0773,0.0145
delta_US,fm_CN,-0.0175,0.5805
delta_EU,fm_CN,-0.0605,0.0557
delta_CN,fm_CN,0.5362,0.0
delta_RoW,fm_CN,-0.0334,0.2918
cost_US,fm_CN,0.0596,0.0598
cost_EU,fm_CN,0.0414,0.1912
cost_CN,fm_CN,-0.5461,0.0
cost_RoW,fm_CN,0.1165,0.0002
pressure_US,fm_CN,0.0709,0.0249
pressure_EU,fm_CN,0.0692,0.0288
pressure_CN,fm_CN,-0.0058,0.8554
pressure_RoW,fm_CN,0.0435,0.1689
lam_US,fm_CN,0.0973,0.0021
lam_EU,fm_CN,-0.0168,0.5946
lam_CN,fm_CN,0.0143,0.6511
lam_RoW,fm_CN,0.0425,0.179
theta,fm_CN,-0.1412,0.0
gamma,fm_CN,0.0076,0.8111
eta,fm_CN,-0.033,0.2969
kappa,fm_CN,0.1085,0.0006
delta_US,fm_RoW,-0.003,0.9239
delta_EU,fm_RoW,0.0304,0.3373
delta_CN,fm_RoW,-0.0801,0.0112
delta_RoW,fm_RoW,0.3925,0.0
cost_US,fm_RoW,0.0659,0.0371
cost_EU,fm_RoW,-0.0345,0.2751
cost_CN,fm_RoW,0.0547,0.0839
cost_RoW,fm_RoW,-0.6084,0.0
pressure_US,fm_RoW,0.0101,0.75
pressure_EU,fm_RoW,-0.0327,0.3022
pressure_CN,fm_RoW,-0.0438,0.1662
pressure_RoW,fm_RoW,0.0843,0.0077
lam_US,fm_RoW,0.0399,0.2075
lam_EU,fm_RoW,0.0117,0.7125
lam_CN,fm_RoW,0.0302,0.3403
lam_RoW,fm_RoW,-0.3851,0.0
theta,fm_RoW,-0.1233,0.0001
gamma,fm_RoW,-0.0376,0.2346
eta,fm_RoW,0.0413,0.1921
kappa,fm_RoW,0.0885,0.0051
