channel,baseline_c90,baseline_c95,equalised_c90,equalised_c95
λ_US,108.7,196.8,-67.5,-67.5
λ_EU,,,-67.5,-67.5
λ_CN,,,-67.5,-67.5
λ_RoW,-67.5,-67.5,-67.5,-67.5
δ_EU,8.4,,-11.8,-11.8
δ_US,9.5,9.5,-24.8,-16.2
δ_CN,2.7,2.7,-13.4,-13.4
δ_RoW,16.5,16.5,-23.1,-23.1
δ_US=δ_CN,6.0,6.0,-2.3,-2.3
Global cost,-12.9,-12.9,15.7,1.4
CN cost,-18.6,-18.6,50.0,50.0
US cost,-1.4,-18.6,50.0,50.0
RoW cost,-37.1,-37.1,20.0,20.0
US pressure,,,-80.0,-80.0
CN pressure,,,-80.0,-80.0
Global pressure,,,-25.7,-25.7
γ (learning),31.4,142.8,-80.0,-80.0
θ (threshold),-5.4,-5.4,10.7,10.7
κ (damage speed),82.8,191.4,-80.0,-80.0
η (sigmoid steep),28.6,28.6,-47.6,-47.6
