spec,param,rho,pval
4-bloc,delta_US,-0.3282,0.0
4-bloc,delta_CN,-0.1781,0.0033
4-bloc,cost_US,0.2239,0.0002
4-bloc,cost_CN,0.2453,0.0
4-bloc,pressure_US,-0.0142,0.8165
4-bloc,pressure_CN,-0.0309,0.6137
4-bloc,lam_US,-0.2371,0.0001
4-bloc,lam_CN,-0.0962,0.115
4-bloc,theta,0.4482,0.0
5-bloc,delta_US,-0.2689,0.0
5-bloc,delta_CN,-0.1898,0.0021
5-bloc,delta_IND,-0.0261,0.6756
5-bloc,cost_US,0.1793,0.0037
5-bloc,cost_CN,0.1269,0.0409
5-bloc,cost_IND,0.1486,0.0165
5-bloc,pressure_US,0.0965,0.1206
5-bloc,pressure_CN,0.0417,0.5034
5-bloc,pressure_IND,-0.0931,0.1345
5-bloc,lam_US,-0.3756,0.0
5-bloc,lam_CN,-0.0968,0.1193
5-bloc,lam_IND,0.0267,0.6679
5-bloc,theta,0.4429,0.0
